Referral Year,Black Felony Referrals Filed,Black Felony Referrals Not Filed,Black Total Felony Referrals,Hispanic Felony Referrals Filed,Hispanic Felony Referrals Not Filed,Hispanic Total Felony Referrals,Native American Felony Referrals Filed,Native American Felony Referrals Not Filed,Native American Total Felony Referrals,White Felony Referrals Filed,White Felony Referrals Not Filed,White Total Felony Referrals,Percent of cases involving Black defendants declined,Percent of cases involving Hispanic defendants declined,Percent of cases involving Native American defendants declined,Percent of cases involving White defendants declined
2020,152,9,161,624,58,682,13,0,13,1747,141,1888,5.6,8.5,0.0,7.5
2021,108,13,121,489,32,521,14,0,14,1516,104,1620,10.7,6.1,0.0,6.4
2022,121,11,132,561,53,614,9,0,9,1398,104,1502,8.3,8.6,0.0,6.9
2023,115,6,121,563,29,592,7,0,7,1427,91,1518,5.0,4.9,0.0,6.0
2024,134,11,145,566,36,602,16,0,16,1476,101,1577,7.6,6.0,0.0,6.4
2025,148,9,157,563,35,598,7,1,8,1387,68,1455,5.7,5.9,12.5,4.7
