Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,803,18,1,822,2.2,149,329,478,31.2
2017 Q2,687,13,1,701,1.9,159,390,549,29.0
2017 Q3,801,15,1,817,1.8,158,374,532,29.7
2017 Q4,738,8,0,746,1.1,148,417,565,26.2
2018 Q1,780,20,1,801,2.5,135,375,510,26.5
2018 Q2,765,25,1,791,3.2,139,476,615,22.6
2018 Q3,796,24,5,825,2.9,135,428,563,24.0
2018 Q4,711,19,3,733,2.6,143,398,541,26.4
2019 Q1,706,30,0,736,4.1,140,442,582,24.1
2019 Q2,749,29,0,778,3.7,137,423,560,24.5
2019 Q3,819,23,1,843,2.7,165,384,549,30.1
2019 Q4,668,31,2,701,4.4,161,402,563,28.6
2020 Q1,689,17,1,707,2.4,158,369,527,30.0
2020 Q2,630,24,2,656,3.7,94,241,335,28.1
2020 Q3,559,25,4,588,4.3,139,322,461,30.2
2020 Q4,599,7,0,606,1.2,152,316,468,32.5
2021 Q1,541,31,0,572,5.4,159,250,409,38.9
2021 Q2,534,15,0,549,2.7,143,318,461,31.0
2021 Q3,522,25,0,547,4.6,147,328,475,30.9
2021 Q4,474,26,0,500,5.2,132,250,382,34.6
2022 Q1,462,26,0,488,5.3,143,272,415,34.5
2022 Q2,472,31,2,505,6.1,131,255,386,33.9
2022 Q3,532,39,0,571,6.8,124,221,345,35.9
2022 Q4,518,32,1,551,5.8,139,236,375,37.1
2023 Q1,512,26,1,539,4.8,128,249,377,34.0
2023 Q2,476,29,2,508,5.7,140,272,412,34.0
2023 Q3,529,25,2,558,4.5,129,248,377,34.2
2023 Q4,521,15,1,537,2.8,124,195,319,38.9
2024 Q1,514,12,0,528,2.3,125,224,349,35.8
2024 Q2,539,23,0,562,4.1,133,211,344,38.7
2024 Q3,515,50,1,566,8.8,100,216,316,31.6
2024 Q4,537,19,0,558,3.4,134,234,368,36.4
2025 Q1,494,29,0,523,5.5,107,238,345,31.0
2025 Q2,516,29,1,547,5.3,127,278,405,31.4
2025 Q3,527,42,1,570,7.4,102,242,344,29.7
2025 Q4,462,32,0,495,6.5,114,219,333,34.2
2026 Q1,480,27,1,508,5.3,132,251,383,34.5
2026 Q2,484,28,0,512,5.5,116,204,320,36.2
