Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,3086,0,3086,0.0
2018,3150,1,3151,0.0
2019,3058,2,3060,0.1
2020,2557,0,2557,0.0
2021,2168,1,2169,0.0
2022,2115,28,2143,1.3
2023,2142,11,2153,0.5
2024,2214,1,2215,0.0
2025,2135,0,2135,0.0
