District,Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
08,2017,3086,290,3376,8,395,166,21,138,2103,2831,8.59004739,5.86365242
08,2018,3150,285,3435,7,394,176,24,146,2206,2953,8.29694323,5.96004064
08,2019,3058,262,3320,11,400,201,27,208,2227,3074,7.89156627,6.53871178
08,2020,2557,266,2823,4,327,184,12,172,1779,2478,9.42260007,7.42534302
08,2021,2168,182,2350,7,326,167,18,133,1709,2360,7.74468085,7.07627119
08,2022,2115,178,2293,4,320,198,17,164,1504,2207,7.76275621,8.97145446
08,2023,2142,137,2279,12,325,179,13,128,1474,2131,6.01140851,8.39981229
08,2024,2214,161,2375,9,357,179,23,126,1362,2056,6.77894737,8.70622568
08,2025,2135,120,2255,11,333,190,30,162,1402,2128,5.32150776,8.92857143
08,2026,1032,52,1084,3,161,97,18,66,688,1033,4.79704797,9.39012585
