Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2020,2557,266,2823,9.4
2021,2168,182,2350,7.7
2022,2115,178,2293,7.8
2023,2142,137,2279,6.0
2024,2214,161,2375,6.8
2025,2135,120,2255,5.3
