Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2020,2557,266,2823,9.42260007
2021,2168,182,2350,7.74468085
2022,2115,178,2293,7.76275621
2023,2142,137,2279,6.01140851
2024,2214,161,2375,6.77894737
2025,2135,120,2255,5.32150776
