Metric,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,5173.0,2021.0,3277.0,529.0,345.0,196.0,35.0,487.0
Change since 2024,34.39854508,4.55250905,-12.72969374,-9.57264957,-1.42857143,-12.10762332,-12.5,-5.4368932
