DispositionQuarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdemeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2018 Q3,48,128,176,27.3,277,887,1164,23.8
2019 Q2,36,146,182,19.8,283,975,1258,22.5
2020 Q4,21,106,127,16.5,155,716,871,17.8
2025 Q3,32,125,157,20.4,235,705,940,25.0
2021 Q3,25,128,153,16.3,209,911,1120,18.7
2023 Q1,37,185,222,16.7,254,900,1154,22.0
2017 Q3,57,129,186,30.6,297,933,1230,24.1
2025 Q4,21,134,155,13.5,165,743,908,18.2
2021 Q2,23,106,129,17.8,139,731,870,16.0
2019 Q1,43,141,184,23.4,291,942,1233,23.6
2022 Q2,26,147,173,15.0,255,1040,1295,19.7
2018 Q1,52,128,180,28.9,294,988,1282,22.9
2019 Q4,36,147,183,19.7,263,912,1175,22.4
2021 Q1,34,97,131,26.0,130,734,864,15.0
2019 Q3,30,130,160,18.8,265,929,1194,22.2
2024 Q1,42,144,186,22.6,233,882,1115,20.9
2018 Q2,42,145,187,22.5,307,981,1288,23.8
2020 Q1,35,114,149,23.5,203,893,1096,18.5
2023 Q4,38,142,180,21.1,226,831,1057,21.4
2018 Q4,38,129,167,22.8,293,929,1222,24.0
2020 Q3,25,116,141,17.7,139,699,838,16.6
2017 Q4,47,126,173,27.2,313,971,1284,24.4
2024 Q3,47,172,219,21.5,244,851,1095,22.3
2024 Q2,46,168,214,21.5,247,836,1083,22.8
2017 Q1,34,159,193,17.6,301,987,1288,23.4
2022 Q3,37,124,161,23.0,227,904,1131,20.1
2025 Q1,34,130,164,20.7,246,844,1090,22.6
2023 Q2,44,177,221,19.9,248,880,1128,22.0
2017 Q2,41,138,179,22.9,283,949,1232,23.0
2020 Q2,21,66,87,24.1,43,266,309,13.9
2023 Q3,30,150,180,16.7,245,817,1062,23.1
2022 Q1,25,141,166,15.1,188,945,1133,16.6
2024 Q4,41,155,196,20.9,228,795,1023,22.3
2021 Q4,28,111,139,20.1,191,887,1078,17.7
2025 Q2,46,138,184,25.0,237,774,1011,23.4
2022 Q4,40,156,196,20.4,217,868,1085,20.0
