Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail,Youth Corrections
2019,3336,1292,4461,646,613,16
2020,1843,653,2659,301,260,9
2021,2796,921,3059,405,278,11
2022,2143,1508,3210,422,355,10
2023,2294,1388,3007,479,350,18
2024,2504,1366,2959,451,303,9
2025,2556,1383,2610,380,304,14
