District,Disposition Year,Highest Income Neighborhood Incarceration,Highest Income Neighborhood No Incarceration,Highest Income Neighborhood Total Cases,Lowest Income Neighborhood Incarceration,Lowest Income Neighborhood No Incarceration,Lowest Income Neighborhood Total Cases,Percent of cases from highest income zip code incarcerated,Percent of cases from lowest income zip code incarcerated
17,2019,170,96,266,175,138,313,63.90977444,55.91054313
17,2020,100,78,178,120,117,237,56.17977528,50.63291139
17,2021,121,99,220,132,109,241,55.0,54.77178423
17,2022,88,106,194,171,145,316,45.36082474,54.11392405
17,2023,155,132,287,200,154,354,54.00696864,56.49717514
17,2024,126,134,260,155,142,297,48.46153846,52.18855219
