District,Disposition Quarter,Deferred,Probation,Community Corrections,Prison
17,2017 Q1,117,187,78,159
17,2017 Q2,88,175,79,159
17,2017 Q3,88,180,74,141
17,2017 Q4,101,166,106,149
17,2018 Q1,112,174,88,176
17,2018 Q2,129,178,108,181
17,2018 Q3,88,169,92,184
17,2018 Q4,102,164,85,171
17,2019 Q1,119,178,102,169
17,2019 Q2,124,174,79,175
17,2019 Q3,116,155,79,145
17,2019 Q4,111,177,78,154
17,2020 Q1,110,137,59,147
17,2020 Q2,57,85,26,67
17,2020 Q3,112,136,43,96
17,2020 Q4,114,119,69,99
17,2021 Q1,113,125,65,121
17,2021 Q2,93,122,76,113
17,2021 Q3,109,144,64,115
17,2021 Q4,86,132,76,156
17,2022 Q1,102,162,60,129
17,2022 Q2,135,168,83,172
17,2022 Q3,124,148,46,154
17,2022 Q4,91,190,50,161
17,2023 Q1,105,212,59,165
17,2023 Q2,106,217,84,158
17,2023 Q3,109,175,61,169
17,2023 Q4,92,172,59,137
17,2024 Q1,121,177,68,127
17,2024 Q2,111,200,55,138
17,2024 Q3,116,201,59,130
17,2024 Q4,113,186,39,120
17,2025 Q1,111,151,52,138
17,2025 Q2,105,174,51,118
17,2025 Q3,112,150,49,143
17,2025 Q4,95,153,42,86
17,2026 Q1,94,161,39,92
17,2026 Q2,88,144,40,103
