Disposition Year,Highest Income Neighborhood Incarceration,Highest Income Neighborhood No Incarceration,Highest Income Neighborhood Total Cases,Lowest Income Neighborhood Incarceration,Lowest Income Neighborhood No Incarceration,Lowest Income Neighborhood Total Cases,Percent of cases from highest income zip code incarcerated,Percent of cases from lowest income zip code incarcerated
2020,96,80,176,126,112,238,54.5,52.9
2021,111,100,211,137,106,243,52.6,56.4
2022,93,103,196,172,150,322,47.4,53.4
2023,153,129,282,202,160,362,54.3,55.8
2024,128,136,264,153,142,295,48.5,51.9
