Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
2020,363,246,609,300,247,547,59.60591133,54.84460695
2021,442,234,676,406,302,708,65.38461538,57.34463277
2022,399,238,637,499,449,948,62.63736264,52.6371308
2023,360,229,589,577,557,1134,61.12054329,50.88183422
2024,301,235,536,555,578,1133,56.15671642,48.98499559
2025,325,197,522,492,473,965,62.2605364,50.98445596
