Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail
2020,1843,653,2659,301,260
2021,2795,919,3057,405,278
2022,2142,1505,3209,422,355
2023,2284,1385,3006,478,349
2024,2481,1361,2958,445,299
2025,2548,1380,2594,377,302
