District,Metric,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
17,Sentences in 2025,5137.0,2017.0,3258.0,526.0,343.0,196.0,33.0,486.0
17,Change since 2024,37.05976521,4.67047224,-13.1663113,-9.1537133,-0.86705202,-12.10762332,-17.5,-5.63106796
