District,Disposition Year,Credit for time served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
17,2020,21,477,74,10,197,24,409
17,2021,22,523,80,7,281,17,505
17,2022,27,668,61,17,239,27,616
17,2023,26,776,82,7,263,26,629
17,2024,48,764,134,15,221,31,515
17,2025,32,628,148,13,194,19,485
