Disposition Year,Black No Pretrial,Black Pretrial,Black Total Cases,Hispanic No Pretrial,Hispanic Pretrial,Hispanic Total Cases,Native American No Pretrial,Native American Pretrial,Native American Total Cases,White No Pretrial,White Pretrial,White Total Cases,Percent of Black defendants detained pretrial,Percent of Hispanic defendants detained pretrial,Percent of Native American defendants detained pretrial,Percent of White defendants detained pretrial
2020,249,185,434,1041,602,1643,15,6,21,2032,979,3011,42.6,36.6,28.6,32.5
2021,341,257,598,1422,866,2288,9,11,20,2324,1211,3535,43.0,37.8,55.0,34.3
2022,345,320,665,1521,1155,2676,19,12,31,2675,1631,4306,48.1,43.2,38.7,37.9
2023,337,341,678,1660,1062,2722,17,15,32,2664,1504,4168,50.3,39.0,46.9,36.1
2024,396,304,700,1815,1068,2883,18,16,34,2582,1362,3944,43.4,37.0,47.1,34.5
2025,370,337,707,1604,1076,2680,14,11,25,2264,1305,3569,47.7,40.1,44.0,36.6
