Disposition Year,Black Incarceration,Black No Incarceration,Black Total,Native American Incarceration,Native American No Incarceration,Native American Total,Hispanic Incarceration,Hispanic No Incarceration,Hispanic Total,White Incarceration,White No Incarceration,White Total,Percent of Black defendants incarcerated,Percent of Native American defendants incarcerated,Percent of Hispanic defendants incarcerated,Percent of White defendants incarcerated
2020,57,57,114,1,2,3,249,156,405,369,293,662,50.0,33.3,61.5,55.7
2021,81,68,149,2,2,4,352,202,554,428,281,709,54.4,50.0,63.5,60.4
2022,91,74,165,1,2,3,379,248,627,455,389,844,55.2,33.3,60.4,53.9
2023,115,89,204,1,1,2,385,306,691,480,432,912,56.4,50.0,55.7,52.6
2024,114,97,211,5,7,12,358,334,692,397,397,794,54.0,41.7,51.7,50.0
2025,108,83,191,4,3,7,362,263,625,354,335,689,56.5,57.1,57.9,51.4
