District,Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
17,2017 Q1,1596,757,2353,32.17169571
17,2017 Q2,1482,767,2249,34.10404624
17,2017 Q3,1459,721,2180,33.0733945
17,2017 Q4,1557,764,2321,32.91684619
17,2018 Q1,1501,774,2275,34.02197802
17,2018 Q2,1450,896,2346,38.19266837
17,2018 Q3,1421,772,2193,35.20291838
17,2018 Q4,1438,790,2228,35.45780969
17,2019 Q1,1418,825,2243,36.78109675
17,2019 Q2,1468,789,2257,34.95790873
17,2019 Q3,1387,806,2193,36.75330597
17,2019 Q4,1336,807,2143,37.6574895
17,2020 Q1,1191,722,1913,37.74176686
17,2020 Q2,341,241,582,41.40893471
17,2020 Q3,1014,362,1376,26.30813953
17,2020 Q4,942,480,1422,33.75527426
17,2021 Q1,993,479,1472,32.54076087
17,2021 Q2,933,557,1490,37.38255034
17,2021 Q3,1190,637,1827,34.86590038
17,2021 Q4,1107,705,1812,38.90728477
17,2022 Q1,1189,663,1852,35.79913607
17,2022 Q2,1274,907,2181,41.58642824
17,2022 Q3,1141,802,1943,41.27637674
17,2022 Q4,1067,790,1857,42.54173398
17,2023 Q1,1297,757,2054,36.85491723
17,2023 Q2,1214,819,2033,40.28529267
17,2023 Q3,1127,741,1868,39.66809422
17,2023 Q4,1170,647,1817,35.60814529
17,2024 Q1,1268,653,1921,33.99271213
17,2024 Q2,1238,750,1988,37.72635815
17,2024 Q3,1262,712,1974,36.06889564
17,2024 Q4,1144,674,1818,37.07370737
17,2025 Q1,1199,718,1917,37.45435576
17,2025 Q2,1111,708,1819,38.92248488
17,2025 Q3,1012,760,1772,42.88939052
17,2025 Q4,1062,583,1645,35.44072948
