Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,86,168,75,133,132,5,70,8,677,21.6,24.8,53.6
2017 Q2,74,156,88,137,119,6,62,8,650,23.2,24.0,52.8
2017 Q3,46,142,68,127,114,6,52,10,565,25.3,25.1,49.6
2017 Q4,62,181,80,130,131,3,79,15,681,21.7,26.6,51.7
2018 Q1,82,154,88,111,106,6,62,8,617,20.3,25.0,54.8
2018 Q2,76,151,88,149,151,12,70,13,710,24.5,21.3,54.2
2018 Q3,88,154,97,125,93,7,72,17,653,22.8,23.6,53.6
2018 Q4,80,123,69,101,143,5,65,8,594,19.2,20.7,60.1
2019 Q1,67,151,75,110,147,8,59,9,626,20.3,24.1,55.6
2019 Q2,68,152,79,126,129,5,47,10,616,22.9,24.7,52.4
2019 Q3,62,142,80,118,128,12,71,6,619,22.0,22.9,55.1
2019 Q4,77,136,77,101,131,3,51,12,588,19.7,23.1,57.1
2020 Q1,57,133,74,73,104,8,46,6,501,17.4,26.5,56.1
2020 Q2,21,28,11,45,45,5,3,3,161,32.9,17.4,49.7
2020 Q3,27,72,33,62,75,6,8,6,289,25.6,24.9,49.5
2020 Q4,29,66,32,77,96,3,13,8,324,27.2,20.4,52.5
2021 Q1,22,88,38,70,109,3,11,10,351,23.6,25.1,51.3
2021 Q2,21,87,38,104,110,4,4,15,383,32.1,22.7,45.2
2021 Q3,25,100,43,94,97,9,10,11,389,29.3,25.7,45.0
2021 Q4,57,102,45,96,131,2,9,9,451,23.7,22.6,53.7
2022 Q1,36,109,36,75,126,3,11,10,406,21.7,26.8,51.5
2022 Q2,56,106,56,90,150,9,13,23,503,24.3,21.1,54.7
2022 Q3,39,92,51,99,110,7,18,12,428,27.6,21.5,50.9
2022 Q4,56,89,36,73,125,5,16,11,411,21.7,21.7,56.7
2023 Q1,67,119,50,98,98,10,16,9,467,25.1,25.5,49.5
2023 Q2,77,126,61,108,132,5,12,7,528,22.7,23.9,53.4
2023 Q3,64,108,44,95,127,9,9,10,466,24.5,23.2,52.4
2023 Q4,55,106,33,75,120,8,7,9,413,22.3,25.7,52.1
2024 Q1,57,106,48,88,114,6,12,13,444,24.1,23.9,52.0
2024 Q2,49,142,30,87,113,13,8,12,454,24.7,31.3,44.1
2024 Q3,50,109,44,75,95,7,12,11,403,23.1,27.0,49.9
2024 Q4,36,104,28,75,93,9,13,9,367,25.3,28.3,46.3
2025 Q1,52,121,34,99,99,9,8,8,430,27.0,28.1,44.9
2025 Q2,43,96,29,94,69,8,23,6,368,29.3,26.1,44.6
2025 Q3,65,89,33,93,109,7,16,7,419,25.5,21.2,53.2
2025 Q4,43,112,24,62,61,1,19,13,335,22.7,33.4,43.9
