Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,1596,757,2353,32.2
2017 Q2,1482,767,2249,34.1
2017 Q3,1459,722,2181,33.1
2017 Q4,1557,764,2321,32.9
2018 Q1,1501,774,2275,34.0
2018 Q2,1450,896,2346,38.2
2018 Q3,1421,772,2193,35.2
2018 Q4,1439,790,2229,35.4
2019 Q1,1418,824,2242,36.8
2019 Q2,1468,789,2257,35.0
2019 Q3,1387,806,2193,36.8
2019 Q4,1336,807,2143,37.7
2020 Q1,1191,722,1913,37.7
2020 Q2,341,241,582,41.4
2020 Q3,1014,362,1376,26.3
2020 Q4,943,480,1423,33.7
2021 Q1,993,479,1472,32.5
2021 Q2,933,558,1491,37.4
2021 Q3,1191,637,1828,34.8
2021 Q4,1108,708,1816,39.0
2022 Q1,1189,665,1854,35.9
2022 Q2,1275,908,2183,41.6
2022 Q3,1141,803,1944,41.3
2022 Q4,1067,791,1858,42.6
2023 Q1,1298,758,2056,36.9
2023 Q2,1214,820,2034,40.3
2023 Q3,1127,745,1872,39.8
2023 Q4,1170,649,1819,35.7
2024 Q1,1269,655,1924,34.0
2024 Q2,1239,754,1993,37.8
2024 Q3,1264,712,1976,36.0
2024 Q4,1142,674,1816,37.1
2025 Q1,1201,718,1919,37.4
2025 Q2,1112,708,1820,38.9
2025 Q3,1017,760,1777,42.8
2025 Q4,1064,586,1650,35.5
