Disposition Year,Native American Incarceration,Native American No Incarceration,Native American Total,Hispanic Incarceration,Hispanic No Incarceration,Hispanic Total,White Incarceration,White No Incarceration,White Total,Percent of Native American defendants incarcerated,Percent of Hispanic defendants incarcerated,Percent of White defendants incarcerated
2020,4,2,6,246,156,402,369,292,661,66.66666667,61.19402985,55.82450832
2021,2,2,4,349,202,551,431,281,712,50.0,63.33938294,60.53370787
2022,2,2,4,377,247,624,453,389,842,50.0,60.41666667,53.80047506
2023,1,1,2,383,304,687,478,435,913,50.0,55.7496361,52.35487404
2024,5,6,11,355,334,689,400,396,796,45.45454545,51.52394775,50.25125628
2025,3,3,6,361,263,624,355,336,691,50.0,57.8525641,51.3748191
