Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
2020,363,246,609,300,248,548,59.6,54.7
2021,439,235,674,408,300,708,65.1,57.6
2022,401,238,639,499,448,947,62.8,52.7
2023,363,225,588,581,561,1142,61.7,50.9
2024,299,234,533,557,577,1134,56.1,49.1
2025,324,192,516,495,477,972,62.8,50.9
