Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2017,1089,41,169,549,6,53,16
2018,1051,39,185,722,14,29,15
2019,1018,28,168,671,4,30,14
2020,916,48,162,596,5,47,18
2021,957,48,228,602,3,74,27
2022,821,38,171,534,1,97,9
2023,746,32,201,550,6,72,83
2024,746,24,195,491,4,34,126
2025,773,39,190,463,8,44,159
