Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,2,12,14,14.3,85.7
2017 Q2,0,14,14,0.0,100.0
2017 Q3,0,15,15,0.0,100.0
2017 Q4,0,7,7,0.0,100.0
2018 Q1,2,15,17,11.8,88.2
2018 Q2,1,6,7,14.3,85.7
2018 Q3,7,16,23,30.4,69.6
2018 Q4,2,20,22,9.1,90.9
2019 Q1,1,17,18,5.6,94.4
2019 Q2,2,12,14,14.3,85.7
2019 Q3,4,22,26,15.4,84.6
2019 Q4,0,20,20,0.0,100.0
2020 Q1,3,20,23,13.0,87.0
2020 Q2,3,15,18,16.7,83.3
2020 Q3,3,18,21,14.3,85.7
2020 Q4,6,14,20,30.0,70.0
2021 Q1,4,21,25,16.0,84.0
2021 Q2,3,22,25,12.0,88.0
2021 Q3,3,14,17,17.6,82.4
2021 Q4,0,6,6,0.0,100.0
2022 Q1,1,18,19,5.3,94.7
2022 Q2,5,9,14,35.7,64.3
2022 Q3,2,14,16,12.5,87.5
2022 Q4,2,6,8,25.0,75.0
2023 Q1,4,11,15,26.7,73.3
2023 Q2,4,15,19,21.1,78.9
2023 Q3,6,15,21,28.6,71.4
2023 Q4,9,26,35,25.7,74.3
2024 Q1,7,16,23,30.4,69.6
2024 Q2,7,12,19,36.8,63.2
2024 Q3,3,17,20,15.0,85.0
2024 Q4,1,10,11,9.1,90.9
2025 Q1,3,16,19,15.8,84.2
2025 Q2,1,14,15,6.7,93.3
2025 Q3,4,20,24,16.7,83.3
2025 Q4,3,14,17,17.6,82.4
2026 Q1,4,13,17,23.5,76.5
2026 Q2,2,9,11,18.2,81.8
