District,Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
22,2017 Q1,2,10,10,22
22,2017 Q2,3,2,10,15
22,2017 Q3,4,10,8,22
22,2017 Q4,5,10,4,19
22,2018 Q1,3,3,8,14
22,2018 Q2,6,4,3,13
22,2018 Q3,4,4,5,13
22,2018 Q4,3,5,4,12
22,2019 Q1,5,2,12,19
22,2019 Q2,11,10,14,35
22,2019 Q3,8,11,5,24
22,2019 Q4,4,3,10,17
22,2020 Q1,4,1,6,11
22,2020 Q2,4,6,5,15
22,2020 Q3,3,6,10,19
22,2020 Q4,6,5,10,21
22,2021 Q1,13,4,8,25
22,2021 Q2,8,4,6,18
22,2021 Q3,5,4,2,11
22,2021 Q4,4,6,8,18
22,2022 Q1,7,7,5,19
22,2022 Q2,11,7,1,19
22,2022 Q3,8,3,12,23
22,2022 Q4,2,5,6,13
22,2023 Q1,3,3,8,14
22,2023 Q2,5,7,4,16
22,2023 Q3,7,2,4,13
22,2023 Q4,10,3,13,26
22,2024 Q1,4,7,4,15
22,2024 Q2,5,7,4,16
22,2024 Q3,4,8,11,23
22,2024 Q4,10,6,6,22
22,2025 Q1,13,6,7,26
22,2025 Q2,9,4,4,17
22,2025 Q3,6,10,4,20
22,2025 Q4,2,7,6,15
22,2026 Q1,7,5,6,18
22,2026 Q2,2,1,0,3
22,2026 Q3,0,0,1,1
22,2031 Q2,0,1,0,1
