District,Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
22,2017,1090,41,169,550,6,51,16
22,2018,1051,39,185,722,14,29,15
22,2019,1018,28,168,671,4,30,14
22,2020,916,48,162,596,5,47,18
22,2021,957,48,228,602,3,74,27
22,2022,821,38,171,534,1,97,9
22,2023,746,32,201,549,6,72,84
22,2024,746,24,195,490,4,33,128
22,2025,773,39,190,463,8,44,159
