Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,1362,119,442
2018,1392,177,486
2019,1232,196,505
2020,1186,237,369
2021,1244,275,420
2022,1061,266,344
2023,1018,256,416
2024,906,265,449
2025,949,312,415
