Filing Year,Male,Female,Another Gender,Unknown/Missing
2017,1373,530,5,15
2018,1444,598,2,11
2019,1272,649,1,11
2020,1313,462,4,13
2021,1436,490,2,11
2022,1182,474,3,12
2023,1210,464,1,15
2024,1163,453,0,4
2025,1169,485,6,16
