Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2020,3040,324,3364,9.6313912
2021,2735,326,3061,10.65011434
2022,2746,321,3067,10.46625367
2023,2821,340,3161,10.75608984
2024,3021,349,3370,10.35608309
2025,3245,354,3599,9.83606557
