Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,3426,74,3500,16,377,312,82,158,2616,3561,2.1,8.8
2018,3670,78,3748,19,480,314,89,173,2520,3595,2.1,8.7
2019,3855,72,3927,17,527,303,113,161,2874,3995,1.8,7.6
2020,3040,50,3090,6,375,296,36,114,1929,2756,1.6,10.7
2021,2735,57,2792,16,378,337,57,138,1945,2871,2.0,11.7
2022,2745,74,2819,15,401,364,78,161,2064,3083,2.6,11.8
2023,2821,72,2893,21,389,399,80,147,2045,3081,2.5,13.0
2024,3021,68,3089,34,471,360,74,118,1983,3040,2.2,11.8
2025,3245,63,3308,27,468,430,49,126,2117,3217,1.9,13.4
