District,Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
18,2024,3021,349,3370,34,469,360,74,118,1982,3037,10.35608309,11.8538031
18,2021,2735,326,3061,16,378,337,57,138,1945,2871,10.65011434,11.73807036
18,2022,2746,321,3067,15,401,364,78,161,2064,3083,10.46625367,11.8066818
18,2025,3245,354,3599,27,465,428,49,126,2108,3203,9.83606557,13.36247268
18,2019,3855,346,4201,17,527,303,113,161,2874,3995,8.23613425,7.5844806
18,2020,3040,324,3364,6,375,296,36,114,1929,2756,9.6313912,10.74020319
18,2023,2821,340,3161,21,389,399,80,147,2045,3081,10.75608984,12.9503408
18,2017,3426,363,3789,16,377,312,82,158,2616,3561,9.58036421,8.76158382
18,2026,1495,116,1611,8,200,212,16,53,948,1437,7.20049659,14.75295755
18,2018,3670,363,4033,19,480,314,89,173,2520,3595,9.00074386,8.73435327
