Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2020,3040,324,3364,9.6
2021,2735,326,3061,10.7
2022,2746,321,3067,10.5
2023,2821,340,3161,10.8
2024,3021,349,3370,10.4
2025,3245,354,3599,9.8
