District,Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
18,2017,3426,363,3789,9.58036421
18,2018,3670,363,4033,9.00074386
18,2019,3855,346,4201,8.23613425
18,2020,3040,324,3364,9.6313912
18,2021,2735,326,3061,10.65011434
18,2022,2746,321,3067,10.46625367
18,2023,2821,340,3161,10.75608984
18,2024,3021,349,3370,10.35608309
18,2025,3245,354,3599,9.83606557
