Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,869,22,0,891,2.5,409,337,746,54.8
2017 Q2,853,19,0,872,2.2,370,377,747,49.5
2017 Q3,777,31,0,808,3.8,320,312,632,50.6
2017 Q4,827,26,2,855,3.0,293,276,569,51.5
2018 Q1,874,20,1,895,2.2,308,400,708,43.5
2018 Q2,919,25,1,945,2.6,273,331,604,45.2
2018 Q3,916,25,0,941,2.7,273,355,628,43.5
2018 Q4,866,23,0,889,2.6,292,373,665,43.9
2019 Q1,854,19,0,873,2.2,310,351,661,46.9
2019 Q2,989,20,0,1009,2.0,420,446,866,48.5
2019 Q3,966,22,0,988,2.2,361,345,706,51.1
2019 Q4,966,19,0,985,1.9,352,399,751,46.9
2020 Q1,855,20,0,875,2.3,337,352,689,48.9
2020 Q2,753,12,0,765,1.6,153,178,331,46.2
2020 Q3,674,28,0,702,4.0,220,258,478,46.0
2020 Q4,669,29,0,698,4.2,210,247,457,46.0
2021 Q1,693,27,0,720,3.8,169,283,452,37.4
2021 Q2,601,23,0,624,3.7,223,333,556,40.1
2021 Q3,677,28,0,705,4.0,209,308,517,40.4
2021 Q4,669,17,0,686,2.5,186,290,476,39.1
2022 Q1,680,32,0,712,4.5,182,322,504,36.1
2022 Q2,618,29,1,649,4.5,208,313,521,39.9
2022 Q3,718,18,1,737,2.4,217,386,603,36.0
2022 Q4,612,35,0,647,5.4,184,329,513,35.9
2023 Q1,662,28,2,692,4.0,190,354,544,34.9
2023 Q2,635,35,1,671,5.2,185,358,543,34.1
2023 Q3,726,29,0,755,3.8,203,332,535,37.9
2023 Q4,668,35,0,703,5.0,168,334,502,33.5
2024 Q1,653,29,3,685,4.2,223,337,560,39.8
2024 Q2,719,32,0,751,4.3,193,305,498,38.8
2024 Q3,776,36,2,815,4.4,212,320,532,39.8
2024 Q4,736,31,2,770,4.0,195,267,462,42.2
2025 Q1,714,32,4,751,4.3,232,312,544,42.6
2025 Q2,824,46,0,872,5.3,233,307,540,43.1
2025 Q3,800,35,0,836,4.2,239,308,547,43.7
2025 Q4,752,33,0,786,4.2,241,278,519,46.4
2026 Q1,687,46,0,733,6.3,247,263,510,48.4
2026 Q2,689,32,0,722,4.4,229,270,499,45.9
