Year,Prosecutors,"Clerical, Paralegal, and Admin.",Victim/Witness Staff,Investigators/Officers,Other,Total Staff,"Percent of staff in clerical, paralegal, or general support positions"
2017,11,7,5,2,1,26,26.9
2018,11,7,5,2,1,26,26.9
2019,10,7,5,3,1,26,26.9
2020,10,7,5,3,1,26,26.9
2021,10,7,5,3,1,26,26.9
2022,10,7,5,3,1,26,26.9
2023,10,7,6,3,2,28,25.0
2024,10,7,6,3,2,28,25.0
