Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,29.75,17.5
2017 Q2,29.2,23.25
2017 Q3,23.3333,27.4
2017 Q4,32.0,27.3333
2018 Q1,21.2857,31.8
2018 Q2,28.1429,24.8333
2018 Q3,25.8571,22.0
2018 Q4,22.0,31.3333
2019 Q1,22.2857,25.7143
2019 Q2,19.7143,29.0
2019 Q3,23.7143,20.0
2019 Q4,20.8333,28.2
2020 Q1,23.0,28.8
2020 Q2,17.1667,18.0
2020 Q3,22.5,21.8333
2020 Q4,23.8,18.6667
2021 Q1,19.1667,24.25
2021 Q2,22.1667,30.0
2021 Q3,21.0,27.8
2021 Q4,15.5714,19.3333
2022 Q1,14.25,19.0
2022 Q2,17.2,19.6
2022 Q3,26.0,24.6
2022 Q4,17.3333,16.25
2023 Q1,18.2857,15.4286
2023 Q2,19.0,18.4286
2023 Q3,16.7143,17.0
2023 Q4,16.125,16.6667
2024 Q1,19.1429,13.5714
2024 Q2,13.8571,17.5714
2024 Q3,24.8333,19.2857
2024 Q4,27.6,20.7143
2025 Q1,25.1667,22.8
2025 Q2,29.8,31.0
2025 Q3,23.0,23.2
2025 Q4,31.25,29.5
2026 Q1,28.25,29.75
2026 Q2,25.75,29.0
