District,Metric,Felony,Misdemeanor
19,Filings 2025,1984.0,6901.0
19,Change since 2024,-9.1991,3.9464
19,,,
19,Filings Quarter 4 2025,494.0,1707.0
19,Change since Quarter 4 2024,-3.1373,0.8865
