Filing Year,Person,Sex Offense,Weapons,Property,Drugs,DUI,Other,Traffic
2020,2280,147,129,1464,699,1011,905,4346
2021,2431,125,146,1561,806,1114,922,4723
2022,2357,106,151,1501,768,1039,813,2581
2023,2431,91,159,1486,812,1044,847,2130
2024,2598,94,165,1561,863,1066,918,2067
2025,2681,98,146,1292,969,1168,1008,2007
