District,Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
19,2017,3009,9405,498
19,2018,3124,9307,487
19,2019,3243,9595,363
19,2020,2402,8297,282
19,2021,2488,9121,219
19,2022,2096,6842,378
19,2023,2046,6470,484
19,2024,2185,6639,508
19,2025,1984,6901,484
