Metric,Felony,Misdemeanor
Filings 2025,1983.0,6898.0
Change since 2024,-9.2449,3.9012
,,
Filings Quarter 4 2025,493.0,1705.0
Change since Quarter 4 2024,-3.3333,0.7683
