Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
2017,3009,9405,498
2018,3124,9307,487
2019,3243,9595,363
2020,2402,8297,282
2021,2488,9121,219
2022,2096,6842,378
2023,2046,6470,484
2024,2185,6639,508
2025,1984,6901,484
