Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,758,2076,105
2017 Q2,748,2350,113
2017 Q3,706,2577,145
2017 Q4,797,2402,135
2018 Q1,737,2208,124
2018 Q2,767,2318,135
2018 Q3,830,2523,114
2018 Q4,790,2258,114
2019 Q1,795,2328,114
2019 Q2,720,2501,70
2019 Q3,907,2168,75
2019 Q4,821,2598,104
2020 Q1,720,2212,72
2020 Q2,570,1757,75
2020 Q3,493,2170,67
2020 Q4,619,2159,67
2021 Q1,628,2181,52
2021 Q2,621,1943,48
2021 Q3,658,2700,57
2021 Q4,581,2297,62
2022 Q1,516,1972,70
2022 Q2,498,1622,82
2022 Q3,519,1909,154
2022 Q4,563,1339,72
2023 Q1,462,1582,100
2023 Q2,539,1622,129
2023 Q3,495,1704,109
2023 Q4,550,1562,146
2024 Q1,497,1657,163
2024 Q2,556,1557,131
2024 Q3,622,1733,113
2024 Q4,510,1692,101
2025 Q1,474,1623,83
2025 Q2,503,1787,139
2025 Q3,512,1784,115
2025 Q4,493,1705,147
2026 Q1,538,1788,153
2026 Q2,576,1684,165
