District,Filing Quarter,Number of violent cases filed per quarter
19,2017 Q1,92
19,2017 Q2,114
19,2017 Q3,122
19,2017 Q4,107
19,2018 Q1,93
19,2018 Q2,111
19,2018 Q3,107
19,2018 Q4,111
19,2019 Q1,94
19,2019 Q2,94
19,2019 Q3,104
19,2019 Q4,105
19,2020 Q1,132
19,2020 Q2,118
19,2020 Q3,118
19,2020 Q4,116
19,2021 Q1,113
19,2021 Q2,115
19,2021 Q3,108
19,2021 Q4,100
19,2022 Q1,90
19,2022 Q2,99
19,2022 Q3,119
19,2022 Q4,125
19,2023 Q1,117
19,2023 Q2,152
19,2023 Q3,128
19,2023 Q4,123
19,2024 Q1,103
19,2024 Q2,123
19,2024 Q3,149
19,2024 Q4,109
19,2025 Q1,131
19,2025 Q2,138
19,2025 Q3,128
19,2025 Q4,129
19,2026 Q1,135
19,2026 Q2,130
