District,Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
18,2017 Q1,16.6346,17.0204
18,2017 Q2,15.5636,18.7273
18,2017 Q3,13.431,17.1429
18,2017 Q4,15.1636,15.0
18,2018 Q1,15.7273,17.04
18,2018 Q2,16.4364,16.234
18,2018 Q3,15.1639,16.0222
18,2018 Q4,14.377,18.1111
18,2019 Q1,12.9697,17.0222
18,2019 Q2,13.3836,17.3276
18,2019 Q3,13.831,14.569
18,2019 Q4,13.6389,15.0345
18,2020 Q1,12.2899,14.1071
18,2020 Q2,11.7377,10.4848
18,2020 Q3,12.04,12.6585
18,2020 Q4,12.6222,12.1395
18,2021 Q1,11.7593,12.7561
18,2021 Q2,11.2449,13.8367
18,2021 Q3,13.8889,14.3
18,2021 Q4,13.6364,13.7143
18,2022 Q1,13.8511,14.0698
18,2022 Q2,13.4773,14.7234
18,2022 Q3,16.3913,17.0227
18,2022 Q4,13.234,13.7826
18,2023 Q1,14.9574,16.7442
18,2023 Q2,15.3095,14.9111
18,2023 Q3,17.439,14.4255
18,2023 Q4,16.1364,17.2432
18,2024 Q1,17.95,17.0698
18,2024 Q2,18.6047,16.35
18,2024 Q3,19.0682,18.122
18,2024 Q4,20.375,18.9118
18,2025 Q1,20.027,19.3409
18,2025 Q2,24.9714,19.2821
18,2025 Q3,25.5,22.6563
18,2025 Q4,24.4848,21.6944
18,2026 Q1,24.0,20.8125
18,2026 Q2,27.75,22.6667
