Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,16.5769,16.9592
2017 Q2,15.5455,18.6818
2017 Q3,13.431,17.1429
2017 Q4,15.2778,14.9773
2018 Q1,15.8519,17.04
2018 Q2,16.3818,16.2128
2018 Q3,14.9355,15.9778
2018 Q4,14.377,18.1111
2019 Q1,12.9545,16.9778
2019 Q2,13.3699,17.3103
2019 Q3,13.6528,14.5517
2019 Q4,13.5833,15.0345
2020 Q1,12.2464,14.0714
2020 Q2,11.6885,10.4545
2020 Q3,12.1633,12.6585
2020 Q4,12.7045,12.1395
2021 Q1,11.9808,12.7561
2021 Q2,11.1633,13.8367
2021 Q3,14.1395,14.5128
2021 Q4,13.5909,14.0
2022 Q1,13.9565,13.9302
2022 Q2,13.6667,15.0889
2022 Q3,15.9149,17.2093
2022 Q4,12.9583,13.8889
2023 Q1,14.7447,16.9048
2023 Q2,14.8837,14.7556
2023 Q3,16.3864,14.9545
2023 Q4,15.8864,16.4615
2024 Q1,17.4146,16.8837
2024 Q2,18.0682,15.9756
2024 Q3,18.4667,17.3256
2024 Q4,20.8947,17.8333
2025 Q1,19.2105,18.4348
2025 Q2,24.1389,18.4634
2025 Q3,24.0556,21.7576
2025 Q4,22.9714,21.1622
2026 Q1,24.2903,21.0313
2026 Q2,25.9,22.8286
