Filing Year,Male,Female,Another Gender,Unknown/Missing
2017,12914,5436,4,290
2018,16763,6988,8,246
2019,15527,6362,2,113
2020,13115,4991,2,257
2021,14768,5668,12,192
2022,13157,5279,10,118
2023,13075,5136,10,146
2024,15109,5490,8,169
2025,13766,5197,6,180
