Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,20,161,181,11.0,89.0
2017 Q2,20,140,160,12.5,87.5
2017 Q3,13,175,188,6.9,93.1
2017 Q4,19,141,160,11.9,88.1
2018 Q1,27,174,201,13.4,86.6
2018 Q2,22,172,194,11.3,88.7
2018 Q3,24,193,217,11.1,88.9
2018 Q4,24,173,197,12.2,87.8
2019 Q1,33,160,193,17.1,82.9
2019 Q2,26,169,195,13.3,86.7
2019 Q3,23,179,202,11.4,88.6
2019 Q4,25,130,155,16.1,83.9
2020 Q1,21,181,202,10.4,89.6
2020 Q2,29,195,224,12.9,87.1
2020 Q3,36,170,206,17.5,82.5
2020 Q4,37,122,159,23.3,76.7
2021 Q1,46,130,176,26.1,73.9
2021 Q2,28,156,184,15.2,84.8
2021 Q3,31,133,164,18.9,81.1
2021 Q4,39,149,188,20.7,79.3
2022 Q1,33,168,201,16.4,83.6
2022 Q2,38,139,177,21.5,78.5
2022 Q3,34,148,182,18.7,81.3
2022 Q4,25,169,194,12.9,87.1
2023 Q1,33,120,153,21.6,78.4
2023 Q2,19,125,144,13.2,86.8
2023 Q3,26,146,172,15.1,84.9
2023 Q4,31,147,178,17.4,82.6
2024 Q1,30,140,170,17.6,82.4
2024 Q2,25,137,162,15.4,84.6
2024 Q3,26,179,205,12.7,87.3
2024 Q4,31,148,179,17.3,82.7
2025 Q1,37,121,158,23.4,76.6
2025 Q2,50,133,183,27.3,72.7
2025 Q3,44,140,184,23.9,76.1
2025 Q4,37,163,200,18.5,81.5
2026 Q1,40,136,176,22.7,77.3
2026 Q2,32,135,167,19.2,80.8
