Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,211,149,176,536
2017 Q2,219,145,217,581
2017 Q3,211,133,151,495
2017 Q4,222,153,191,566
2018 Q1,261,150,181,592
2018 Q2,251,192,159,602
2018 Q3,257,160,155,572
2018 Q4,260,181,167,608
2019 Q1,291,176,175,642
2019 Q2,268,162,159,589
2019 Q3,247,141,144,532
2019 Q4,220,132,110,462
2020 Q1,206,124,121,451
2020 Q2,101,66,64,231
2020 Q3,163,98,76,337
2020 Q4,177,73,65,315
2021 Q1,210,99,84,393
2021 Q2,212,108,98,418
2021 Q3,237,81,69,387
2021 Q4,231,96,73,400
2022 Q1,223,95,71,389
2022 Q2,252,95,86,433
2022 Q3,242,76,78,396
2022 Q4,239,75,67,381
2023 Q1,224,85,81,390
2023 Q2,212,81,72,365
2023 Q3,180,69,71,320
2023 Q4,161,75,49,285
2024 Q1,174,62,80,316
2024 Q2,167,78,57,302
2024 Q3,179,70,76,325
2024 Q4,167,72,54,293
2025 Q1,189,75,73,337
2025 Q2,148,59,58,265
2025 Q3,151,72,43,266
2025 Q4,144,49,58,251
2026 Q1,156,76,77,309
2026 Q2,172,69,62,303
