District,Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
01,2017 Q1,211,149,176,536
01,2017 Q2,219,145,217,581
01,2017 Q3,211,133,151,495
01,2017 Q4,222,153,191,566
01,2018 Q1,261,150,181,592
01,2018 Q2,251,192,159,602
01,2018 Q3,257,159,156,572
01,2018 Q4,260,181,167,608
01,2019 Q1,291,176,175,642
01,2019 Q2,268,162,159,589
01,2019 Q3,247,141,144,532
01,2019 Q4,220,132,110,462
01,2020 Q1,206,124,121,451
01,2020 Q2,101,66,64,231
01,2020 Q3,163,98,76,337
01,2020 Q4,177,73,65,315
01,2021 Q1,210,99,84,393
01,2021 Q2,212,108,98,418
01,2021 Q3,237,81,69,387
01,2021 Q4,231,96,73,400
01,2022 Q1,223,95,71,389
01,2022 Q2,252,95,86,433
01,2022 Q3,242,76,78,396
01,2022 Q4,239,75,67,381
01,2023 Q1,224,85,81,390
01,2023 Q2,212,81,72,365
01,2023 Q3,180,69,71,320
01,2023 Q4,161,75,49,285
01,2024 Q1,174,62,80,316
01,2024 Q2,167,78,57,302
01,2024 Q3,179,70,76,325
01,2024 Q4,167,72,54,293
01,2025 Q1,189,75,73,337
01,2025 Q2,148,59,58,265
01,2025 Q3,151,72,43,266
01,2025 Q4,144,49,58,251
01,2026 Q1,156,76,77,309
01,2026 Q2,163,66,61,290
01,2026 Q3,1,0,1,2
