Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2017,7479,1021,3310,40,155,4391,2248
2018,15719,1607,5028,77,250,995,329
2019,14389,1446,5000,74,272,676,147
2020,11656,1302,4112,80,156,795,264
2021,12792,1492,4577,67,217,1275,220
2022,11336,1331,4264,73,233,1125,202
2023,10983,1373,4314,74,245,1159,219
2024,12320,1485,5421,73,235,933,309
2025,11201,1479,4866,59,242,904,398
