Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,10988,2758,4898
2018,13874,3584,6547
2019,12101,3634,6269
2020,9200,3989,5176
2021,10410,4594,5636
2022,9433,4015,5116
2023,9852,3699,4816
2024,11748,3850,5178
2025,10207,3762,5181
