Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,10984,2760,4900
2018,13861,3587,6557
2019,12098,3638,6268
2020,9187,3990,5188
2021,10402,4598,5640
2022,9425,4017,5122
2023,9844,3704,4819
2024,11738,3855,5183
2025,10175,3785,5189
