Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,41,37,78,52.6
2017 Q2,27,24,51,52.9
2017 Q3,50,64,114,43.9
2017 Q4,48,51,99,48.5
2018 Q1,34,32,66,51.5
2018 Q2,65,35,100,65.0
2018 Q3,22,29,51,43.1
2018 Q4,23,19,42,54.8
2019 Q1,19,18,37,51.4
2019 Q2,74,59,133,55.6
2019 Q3,40,27,67,59.7
2019 Q4,33,33,66,50.0
2020 Q1,65,60,125,52.0
2020 Q2,49,59,108,45.4
2020 Q3,49,31,80,61.2
2020 Q4,33,20,53,62.3
2021 Q1,40,12,52,76.9
2021 Q2,53,23,76,69.7
2021 Q3,67,15,82,81.7
2021 Q4,75,39,114,65.8
2022 Q1,72,32,104,69.2
2022 Q2,62,20,82,75.6
2022 Q3,63,27,90,70.0
2022 Q4,47,33,80,58.8
2023 Q1,31,25,56,55.4
2023 Q2,19,28,47,40.4
2023 Q3,42,27,69,60.9
2023 Q4,32,46,78,41.0
2024 Q1,27,25,52,51.9
2024 Q2,33,36,69,47.8
2024 Q3,37,26,63,58.7
2024 Q4,37,16,53,69.8
2025 Q1,46,40,86,53.5
2025 Q2,33,33,66,50.0
2025 Q3,35,36,71,49.3
2025 Q4,39,24,63,61.9
2026 Q1,38,40,78,48.7
2026 Q2,32,29,61,52.5
