Disposition Year,Native American Plea to Lesser Charge,Native American No Plea to Lesser Charge,Native American Total Guilty Pleas,Hispanic Plea to Lesser Charge,Hispanic No Plea to Lesser Charge,Hispanic Total Guilty Pleas,Black Plea to Lesser Charge,Black No Plea to Lesser Charge,Black Total Guilty Pleas,White Plea to Lesser Charge,White No Plea to Lesser Charge,White Total Guilty Pleas,Percent of Native American defendants pleading to a lesser charge,Percent of Hispanic defendants pleading to a lesser charge,Percent of Black defendants pleading to a lesser charge,Percent of White defendants pleading to a lesser charge
2020,1,0,1,102,76,178,3,3,6,76,83,159,100.0,57.30337079,50.0,47.79874214
2021,1,0,1,133,63,196,5,0,5,90,24,114,100.0,67.85714286,100.0,78.94736842
2022,1,0,1,133,70,203,4,2,6,96,37,133,100.0,65.51724138,66.66666667,72.18045113
2023,1,1,2,74,67,141,2,2,4,39,50,89,50.0,52.4822695,50.0,43.82022472
2024,0,1,1,64,49,113,2,1,3,60,44,104,0.0,56.63716814,66.66666667,57.69230769
2025,1,0,1,80,70,150,5,0,5,58,55,113,100.0,53.33333333,100.0,51.32743363
