District,Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
12,2020,278,113,67,1,20,471
12,2021,690,273,173,4,16,561
12,2022,388,244,206,2,8,545
12,2023,292,125,87,1,21,431
12,2024,326,146,90,4,9,450
12,2025,380,219,193,10,26,986
