Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Plead/Found Guilty
2019,368,144,104,5,590
2020,278,113,67,1,492
2021,692,273,174,4,582
2022,391,245,209,2,557
2023,317,127,92,1,537
2024,355,152,93,4,546
2025,393,222,193,10,1023
