Disposition Year,Native American Plea to Lesser Charge,Native American No Plea to Lesser Charge,Native American Total Guilty Pleas,Hispanic Plea to Lesser Charge,Hispanic No Plea to Lesser Charge,Hispanic Total Guilty Pleas,Black Plea to Lesser Charge,Black No Plea to Lesser Charge,Black Total Guilty Pleas,White Plea to Lesser Charge,White No Plea to Lesser Charge,White Total Guilty Pleas,Percent of Native American defendants pleading to a lesser charge,Percent of Hispanic defendants pleading to a lesser charge,Percent of Black defendants pleading to a lesser charge,Percent of White defendants pleading to a lesser charge
2019,0,0,0,92,70,162,1,1,2,65,63,128,,56.8,50.0,50.8
2020,1,0,1,106,78,184,3,3,6,78,83,161,100.0,57.6,50.0,48.4
2021,1,0,1,135,62,197,5,0,5,90,25,115,100.0,68.5,100.0,78.3
2022,1,0,1,134,71,205,4,2,6,95,38,133,100.0,65.4,66.7,71.4
2023,1,1,2,76,68,144,2,2,4,41,50,91,50.0,52.8,50.0,45.1
2024,0,1,1,67,50,117,2,1,3,62,46,108,0.0,57.3,66.7,57.4
2025,1,0,1,80,72,152,5,0,5,58,56,114,100.0,52.6,100.0,50.9
