Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,90,45,45,1,8,348
2021,183,92,65,1,6,317
2022,176,83,63,4,1,354
2023,70,17,46,2,8,240
2024,81,41,55,1,7,223
2025,130,36,67,0,4,279
