District,Metric,Felony,Misdemeanor
12,Cases Resolved 2025,516.0,1814.0
12,Change since 2024,26.47058824,76.97560976
12,,,
12,Cases Resolved Quarter 4 2025,127.0,386.0
12,Change since Quarter 4 2024,23.30097087,20.625
