Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,41,37,78,52.56410256
2017 Q2,27,24,51,52.94117647
2017 Q3,50,64,114,43.85964912
2017 Q4,48,51,99,48.48484848
2018 Q1,34,32,66,51.51515152
2018 Q2,65,35,100,65.0
2018 Q3,22,29,51,43.1372549
2018 Q4,23,19,42,54.76190476
2019 Q1,19,18,37,51.35135135
2019 Q2,74,59,133,55.63909774
2019 Q3,40,27,67,59.70149254
2019 Q4,33,33,66,50.0
2020 Q1,62,60,122,50.81967213
2020 Q2,49,59,108,45.37037037
2020 Q3,46,29,75,61.33333333
2020 Q4,31,20,51,60.78431373
2021 Q1,39,12,51,76.47058824
2021 Q2,52,22,74,70.27027027
2021 Q3,67,16,83,80.72289157
2021 Q4,75,39,114,65.78947368
2022 Q1,72,32,104,69.23076923
2022 Q2,62,20,82,75.6097561
2022 Q3,64,26,90,71.11111111
2022 Q4,46,32,78,58.97435897
2023 Q1,30,26,56,53.57142857
2023 Q2,17,27,44,38.63636364
2023 Q3,41,27,68,60.29411765
2023 Q4,32,45,77,41.55844156
2024 Q1,24,24,48,50.0
2024 Q2,32,34,66,48.48484848
2024 Q3,36,26,62,58.06451613
2024 Q4,36,16,52,69.23076923
2025 Q1,45,40,85,52.94117647
2025 Q2,33,33,66,50.0
2025 Q3,35,33,68,51.47058824
2025 Q4,39,24,63,61.9047619
2026 Q1,38,39,77,49.35064935
2026 Q2,32,23,55,58.18181818
