Disposition Quarter,Average number of hearings per case
2017 Q1,7.7167
2017 Q2,6.8476
2017 Q3,9.523
2017 Q4,9.3158
2018 Q1,8.4848
2018 Q2,9.3349
2018 Q3,8.6848
2018 Q4,11.1831
2019 Q1,8.8056
2019 Q2,10.3609
2019 Q3,10.744
2019 Q4,9.8017
2020 Q1,10.1761
2020 Q2,11.3356
2020 Q3,10.379
2020 Q4,8.701
2021 Q1,9.4692
2021 Q2,9.1149
2021 Q3,9.1319
2021 Q4,10.7476
2022 Q1,9.6
2022 Q2,9.453
2022 Q3,9.5028
2022 Q4,9.816
2023 Q1,9.9524
2023 Q2,9.1733
2023 Q3,9.7547
2023 Q4,10.8051
2024 Q1,8.3261
2024 Q2,9.0841
2024 Q3,9.7712
2024 Q4,9.5524
2025 Q1,10.1429
2025 Q2,11.5772
2025 Q3,8.9675
2025 Q4,9.625
2026 Q1,8.8618
2026 Q2,10.0588
