Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,187.1833,162.0
2017 Q2,166.7961,115.0
2017 Q3,360.2484,254.0
2017 Q4,339.5987,263.5
2018 Q1,246.1034,185.0
2018 Q2,363.6054,266.0
2018 Q3,399.6386,331.0
2018 Q4,361.1967,257.0
2019 Q1,259.2286,217.5
2019 Q2,361.1932,291.0
2019 Q3,320.1382,249.0
2019 Q4,295.7368,246.5
2020 Q1,278.1198,208.0
2020 Q2,329.0791,247.0
2020 Q3,271.9756,231.0
2020 Q4,249.2021,206.0
2021 Q1,250.4651,203.0
2021 Q2,236.6936,172.0
2021 Q3,245.1571,149.0
2021 Q4,299.0441,211.0
2022 Q1,245.9785,191.0
2022 Q2,245.5955,189.5
2022 Q3,229.4857,201.0
2022 Q4,237.8699,177.0
2023 Q1,238.7674,202.0
2023 Q2,239.5946,217.0
2023 Q3,258.4615,225.5
2023 Q4,274.75,251.5
2024 Q1,189.0805,169.0
2024 Q2,225.7767,198.0
2024 Q3,249.6549,219.0
2024 Q4,200.0,158.0
2025 Q1,257.0704,201.5
2025 Q2,278.4017,265.0
2025 Q3,228.0588,192.0
2025 Q4,258.6339,191.5
2026 Q1,226.6759,176.5
2026 Q2,248.5556,203.0
