Metric,Felony,Misdemeanor
Cases Resolved 2025,527.0,1841.0
Change since 2024,24.0,59.53206239
,,
Cases Resolved Quarter 4 2025,128.0,389.0
Change since Quarter 4 2024,21.9047619,14.07624633
